suburb,lat,lon
 Caralulup,-37.9000,144.2500
 Caramut,-37.9000,144.2500
 Carapooee,-37.9000,144.2500
 Carapooee West,-37.9000,144.2500
 Carapook,-37.9000,144.2500
 Carboor,-37.9000,144.2500
 Cardigan,-37.9000,144.2500
 Cardigan Village,-37.9000,144.2500
 Cardinia,-37.9000,144.2500
 Cardross,-37.9000,144.2500
 Cargerie,-37.9000,144.2500
 Carina,-37.9000,144.2500
 Caringal,-37.9000,144.2500
 Carisbrook,-37.9000,144.2500
 Carlisle River,-37.9000,144.2500
 Carlsruhe,-37.9000,144.2500
 Carlton,-37.9000,144.2500
 Carlton North,-37.9000,144.2500
 Carlton South,-37.9000,144.2500
 Carlyle,-38.1600,144.5600
 Carnegie,-38.1600,144.5600
 Carngham,-38.1600,144.5600
 Caroline Springs,-38.1600,144.5600
 Carpendeit,-38.1600,144.5600
 Carrajung,-38.1400,144.7100
 Carrajung Lower,-38.1400,144.7100
 Carrajung South,-38.1400,144.7100
 Carranballac,-38.1800,144.4600
 Carron,-38.2900,144.6100
 Carrum,-38.2900,144.6100
 Carrum Downs,-38.2900,144.6100
 Carwarp,-38.2900,144.6100
 Cashmore,-38.2700,144.5400
 Cassilis,-38.2800,144.4900
 Castella,-38.2800,144.4900
 Casterton,-38.2800,144.4900
 Castle Creek,-38.3300,144.2600
 Castle Donnington,-38.3300,144.2600
 Castlemaine,-38.3300,144.2600
 Catani,-38.3300,144.2600
 Cathcart,-38.4100,144.1900
 Cathkin,-38.4600,144.1100
 Catumnal,-38.4600,144.1100
 Caulfield,-38.4600,144.1100
 Caulfield East,-38.4600,144.1100
 Caulfield Junction,-38.4600,144.1100
 Caulfield North,-38.5200,144.0000
 Caulfield South,-38.7500,143.6700
 Caveat,-38.7500,143.6700
 Cavendish,-38.7500,143.6700
 Central Park,-38.7500,143.6700
 Ceres,-38.7500,143.6700
 Chadstone,-38.7500,143.6700
 Chadstone Centre,-38.4700,143.9300
 Chandlers Creek,-38.4700,143.9300
 Chapel Flat,-38.4700,143.9300
 Chapel Street North,-38.4700,143.9300
 Chapple Vale,-38.5200,143.7100
 Charam,-38.5200,143.7100
 Charleroi,-38.6900,143.5600
 Charlton,-38.6900,143.5600
 Chatsworth,-38.6900,143.5600
 Chelsea,-38.6900,143.5600
 Chelsea Heights,-38.6900,143.5600
 Cheltenham,-38.6900,143.5600
 Cheltenham East,-38.6900,143.5600
 Cheltenham North,-38.6900,143.5600
 Chepstowe,-38.7800,143.4300
 Cherokee,-38.7800,143.4300
 Cherrilong,-38.7800,143.4300
 Cherrypool,-38.7800,143.4300
 Cheshunt,-38.5600,143.4000
 Cheshunt South,-38.5600,143.4000
 Chesney Vale,-38.5600,143.4000
 Chetwynd,-38.5600,143.4000
 Chewton,-38.2200,144.0800
 Chewton Bushlands,-38.2200,144.0800
 Childers,-38.2200,144.0800
 Chillingollah,-38.2200,144.0800
 Chiltern,-38.2200,144.0800
 Chiltern Valley,-38.2200,144.0800
 Chinangin,-38.3700,143.9500
 Chinkapook,-38.3700,143.9500
 Chintin,-38.3700,143.9500
 Chirnside Park,-38.3700,143.9500
 Chirrip,-38.3700,143.9500
 Chocolyn,-38.3700,143.9500
 Christmas Hills,-38.3100,143.7900
 Chum Creek,-38.4700,143.7600
 Churchill,-38.4700,143.7600
 Churchill Island,-38.4700,143.7600
 Chute,-38.4700,143.7600
 Clarendon,-38.2400,143.4800
 Claretown,-38.2400,143.4800
 Clarinda,-38.2400,143.4800
 Clarkefield,-38.2400,143.4800
 Clarkes Hill,-38.2400,143.4800
 Clayton,-38.2400,143.4800
 Clayton South,-38.2400,143.4800
 Clear Lake,-38.2400,143.4800
 Clematis,-38.2400,143.4800
 Clifton Creek,-38.2400,143.4800
 Clifton Hill,-38.2400,143.4800
 Clifton Springs,-38.2400,143.4800
 Clonbinane,-38.2400,143.4800
 Clover Flat,-38.2400,143.4800
 Cloverlea,-38.2400,143.4800
 Club Terrace,-38.2400,143.4800
 Clunes,-38.2400,143.4800
 Clyde,-38.2400,143.4800
 Clyde North,-38.2400,143.4800
 Clydebank,-38.2400,143.4800
 Clydesdale,-38.2400,143.4800
 Coalville,-38.2400,143.4800
 Coatesville,-38.2400,143.4800
 Cobains,-38.2400,143.4800
 Cobaw,-38.2400,143.4800
 Cobbannah,-38.3400,143.5800
 Cobberas,-38.3400,143.5800
 Cobden,-38.3400,143.5800
 Cobram,-38.3400,143.5800
 Cobram,-38.1900,143.6400
 Cobram East,-38.1900,143.6400
 Cobrico,-38.1900,143.6400
 Cobungra,-38.1900,143.6400
 Coburg,-38.1900,143.6400
 Coburg North,-38.3000,143.5200
 Cocamba,-38.1300,143.1000
 Cochranes Creek,-38.1300,143.1000
 Cockatoo,-38.1300,143.1000
 Cocoroc,-38.1300,143.1000
 Codrington,-38.1300,143.1000
 Coghills Creek,-38.1300,143.1000
 Cohuna,-38.1300,143.1000
 Coimadai,-38.1300,143.1000
 Cokum,-38.1300,143.1000
 Colac,-38.1300,143.1000
 Colac Colac,-38.1300,143.1000
 Colac East,-38.1300,143.1000
 Colac West,-38.1300,143.1000
 Colbinabbin,-38.1300,143.1000
 Colbrook,-38.1300,143.1000
 Coldstream,-38.1300,143.1000
 Coleraine,-38.1300,143.1000
 Colignan,-38.1300,143.1000
 Collingwood,-38.2400,142.9100
 Collingwood North,-38.2100,143.0100
 Collins Street East,-38.2100,143.0100
 Collins Street West,-38.2100,143.0100
 Colliver,-38.2100,143.0100
 Combienbar,-38.2100,143.0100
 Concongella,-38.2100,143.0100
 Condah,-38.2100,143.0100
 Condah Swamp,-38.2100,143.0100
 Congupna,-38.2100,143.0100
 Connewarre,-38.2100,143.0100
 Connewirricoo,-38.2100,143.0100
 Coojar,-38.2100,143.0100
 Coolaroo,-38.2100,143.0100
 Cooma,-38.2100,143.0100
 Coomboona,-38.2100,143.0100
 Coomoora,-38.2100,143.0100
 Coongulla,-38.2100,143.0100
 Coonooer Bridge,-38.3400,143.1400
 Coonooer West,-38.3400,143.1400
 Coopers Creek,-38.3400,143.1400
 Cooriemungle,-38.3400,143.1400
 Cope Cope,-38.3400,143.1400
 Cora Lynn,-38.3400,143.1400
 Corack,-38.3400,143.1400
 Corack East,-38.3400,143.1400
 Coragulac,-38.3400,143.1400
 Coral Bank,-38.3400,143.1400
 Corindhap,-38.4500,143.1100
 Corinella,-38.4200,142.8600
 Corio,-38.4200,142.8600
